No.,Actividad,Cliente / Proyecto / Servicio / Aplicación,Fecha desde,Fecha Hasta,Descripción,Estatus *
11,Administrador AThi,Altura,2026-07-28,2026-07-28,1. Fronted: Vista de usuarios y calendario de jornadas de empleados de un departamento.,Entregado
12,Administrador AThi,Altura,2026-07-28,2026-07-28,1. Implementacion y declaracion minima de clases para el uso de ASteps,Entregado
13,Administrador AThi,Altura,2026-07-30,2026-07-30,1. Implementacion de conexion a base de datos de AThi y validaciones correspondientes,Entregado
14,Administrador AThi,Altura,2026-08-02,2026-08-02,"1. Cambios de nombres de columnas del esquema de athi, entidades de horario, kardex, etc, cambiaron en los nombres de sus columnas pero no en la definicion de la entidad 2. Fronted: Barra lateral con menus desplegables.",Entregado
15,Administrador AThi,Altura,2026-08-03,2026-08-03,1. Creacion de docker y generacion de imagen docker. 2. Creacion de archivo docker-compose para ejecucion de AThi 1.0.0 dev 3. Creacion de archivo System.xml para configuracion de conexion a bases de datos.,Entregado
16,Administrador AThi,Altura,2026-08-14,2026-08-14,1. Implementacion de Asteps y de Sessionverify. 2. Fronted: Actualizacion de interfaz de busquedas de usuarios y departamento. 3. Mejora en respuestas de endpoints utilizando ResponseEntity,Entregado
17,Administrador AThi,Altura,2026-08-23,2026-08-23,"1. Backend: Implementacion de validacion de rol requerido SYS_ACC_ATHI mediante RoleValidator y ProductionFilter (perfil prod), con rechazo 401 para usuarios no autorizados. 2. Backend: Nuevo endpoint de metricas de vacaciones y permisos por usuario y rango de fechas (saldo actual y total de permisos). 3. Backend: Auditoria con appId configurable (app.appId) en lugar de valor fijo 108 en AuditExecutor y AuditInterceptor. 4. Backend: Ajuste de configuracion de propiedades (app.serviceId=athi, rutas Windows, manejo de errores) y Docker Compose; se agrega Spring Boot Actuator. 5. Backend: Limpieza de codigo comentado/muerto y eliminacion de ProgramedTask. 6. Frontend: Manejo de sesion no autorizada (401) diferenciado en SessionGate y SessionSplash. 7. Frontend: Integracion de metricas de vacaciones y permisos en el dashboard personal (PersonalView) con nuevo hook y tipo. 8. Frontend: Actualizacion de version del paquete a 1.0.0.",Entregado
18,Administrador AThi,Altura,2026-08-28,2026-08-28,"1. Implementacion y uso de clase MarcacionesUtils para el calculo de atrasos, faltas y salidas anticipadas 2. Implementacion y uso de DTO para enviar informacion de marcaciones al fronted 3. Ajustes en vista de personal con ajustes propuestos en la persentacion de 28/08/2026",Entregado
19,Administrador AThi,Altura,2026-08-31,2026-08-31,"1. Mejora de interfaz de usuario en la vista de personal con ajustes propuestos en la persentacion de 31/08/2026 1.1 Arreglo en la presentacion de metricas en la vista de personal, separando las metricas globales y las de periodo de seleccion. 1.2 Ajuste en la presentacion de metricas en la vista de personal, utilizando colores que no se confundan con niveles de criticidad, utilizando colores mas amigables. 1.3 Reduccion de utilizancion de elementos Chip en la tabla de marcaciones. 1.4 Mejora en la presentacion de informacion de marcaciones, utilizando iconos mas descriptivos.",Entregado
20,Administrador AThi,Altura,2026-09-03,2026-09-03,"1. Fronted: Correccion en la tabla de marcaciones (MarcacionesDataTable), el chip de ""Marcacion Futura"" y los chips de ""Sin Marcacion"" en las columnas de entrada/salida ahora comparan solo el día calendario en lugar de la fecha y hora exactas, evitando que una marcación del día actual se marque incorrectamente como futura o pendiente. 2. Fronted: Los chips de ""Sin Marcación"" en entrada y salida ahora se muestran con variante de advertencia (warning) cuando corresponden a un dia anterior al actual, distinguiendolos visualmente de un día en curso que aún puede marcarse. 3. Fronted: Refactorización de la celda de incidencias (IncidenciasCell) de la tabla de marcaciones, unificando el calculo de texto y color por estado (entrada, salida, inasistencia) para eliminar lógica duplicada y corrigiendo el mensaje mostrado cuando faltan ambas marcaciones (entrada y salida) del mismo día. 4. Fronted: Corrección del tipo IncidenciaPareja para que refleje los campos reales que envia el backend (isAnticipo, minutosAnticipo, isExceso, minutosExceso, sinMarcacionInicio, sinMarcacionFin), que no coincidían con los campos previamente definidos en el fronted. 5. Fronted: Refactorización de la tabla de marcaciones parejas (MarcacionesParejasDataTable) para consumir directamente la incidencia calculada por el backend en lugar de recalcularla en el fronted, agregando chips de advertencia/error segun corresponda para anticipo, exceso de tiempo y marcaciones faltantes en los intervalos (almuerzos/breaks).",Entregado
